,Site_ID,gs,Guild,SamplingMethod,Abundance,Sampled_area,Sampled_time,Description,,Latitude,Longtiude,ID,Date,Collector,Family,Genus,Species
3,site_3,Apis_mellifera,honeybee,bee_bowl,1,50,9,15 bee bowls,,47.57,-122.316,EHB8593,8/31/2016,Bloom,Apidae,Apis,mellifera
3,site_3,Apis_mellifera,honeybee,blue_vane_trap,1,50,9,3 blue vane traps,,47.57,-122.316,EHB8584,8/31/2016,Bloom,Apidae,Apis,mellifera
3,site_3,Apis_mellifera,honeybee,sweep_net,7,50,1,,,47.57,-122.316,EHB8580,8/31/2016,Bloom,Apidae,Apis,mellifera
3,site_3,Bombus_vosnesenskii,bumblebee,blue_vane_trap,1,50,9,3 blue vane traps,,47.57,-122.316,EHB8581,8/31/2016,Bloom,Apidae,Bombus,vosnesenskii
3,site_3,Bombus_vosnesenskii,bumblebee,sweep_net,4,50,1,,,47.57,-122.316,EHB8578,8/31/2016,Bloom,Apidae,Bombus,vosnesenskii
5,site_5,Agapostemon_texanus,other_wild_bees,blue_vane_trap,1,50,9,3 blue vane traps,,47.057,-122.97,EHB9606,9/13/2016,Bloom,Halictidae,Agapostemon,texanus
5,site_5,Agapostemon_virescens,other_wild_bees,bee_bowl,3,50,9,15 bee bowls,,47.057,-122.97,EHB9612,9/13/2016,Bloom,Halictidae,Agapostemon,virescens
5,site_5,Apis_mellifera,honeybee,bee_bowl,3,50,9,15 bee bowls,,47.057,-122.97,EHB9610,9/13/2016,Bloom,Apidae,Apis,mellifera
5,site_5,Apis_mellifera,honeybee,blue_vane_trap,1,50,9,3 blue vane traps,,47.057,-122.97,EHB9601,9/13/2016,Bloom,Apidae,Apis,mellifera
5,site_5,Apis_mellifera,honeybee,sweep_net,30,50,1,,,47.057,-122.97,EHB9594,9/13/2016,Bloom,Apidae,Apis,mellifera
5,site_5,Bombus_flavifrons,bumblebee,sweep_net,1,50,1,,,47.057,-122.97,EHB8606,8/2/2016,Bloom,Apidae,Bombus,flavifrons
5,site_5,Bombus_vosnesenskii,bumblebee,bee_bowl,3,50,9,15 bee bowls,,47.057,-122.97,EHB8633,8/2/2016,Bloom,Apidae,Bombus,vosnesenskii
5,site_5,Bombus_vosnesenskii,bumblebee,blue_vane_trap,15,50,9,3 blue vane traps,,47.057,-122.97,EHB9605,9/13/2016,Bloom,Apidae,Bombus,vosnesenskii
5,site_5,Bombus_vosnesenskii,bumblebee,sweep_net,10,50,1,,,47.057,-122.97,EHB8605,8/2/2016,Bloom,Apidae,Bombus,vosnesenskii
5,site_5,Halictus_rubicundus,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,47.057,-122.97,EHB8629,8/2/2016,Bloom,Halictidae,Halictus,rubicundus
5,site_5,Lasioglossum_cfmellipes,other_wild_bees,sweep_net,1,50,1,,,47.057,-122.97,EHB9575,9/13/2016,Bloom,Halictidae,Lasioglossum,cfmellipes
6,site_6,Apis_mellifera,honeybee,bee_bowl,2,50,9,15 bee bowls,,47.678,-121.949,EHB9186,8/22/2016,Bloom,Apidae,Apis,mellifera
6,site_6,Apis_mellifera,honeybee,blue_vane_trap,4,50,9,3 blue vane traps,,47.678,-121.949,EHB9183,8/22/2016,Bloom,Apidae,Apis,mellifera
6,site_6,Apis_mellifera,honeybee,sweep_net,25,50,1,,,47.678,-121.949,EHB9166,8/22/2016,Bloom,Apidae,Apis,mellifera
6,site_6,Bombus_vosnesenskii,bumblebee,sweep_net,6,50,1,,,47.678,-121.949,EHB9167,8/22/2016,Bloom,Apidae,Bombus,vosnesenskii
7,site_7,Apis_mellifera,honeybee,bee_bowl,6,50,9,15 bee bowls,,47.063,-122.926,EHB8414,9/5/2016,Bloom,Apidae,Apis,mellifera
7,site_7,Apis_mellifera,honeybee,blue_vane_trap,2,50,9,3 blue vane traps,,47.063,-122.926,EHB8412,9/5/2016,Bloom,Apidae,Apis,mellifera
7,site_7,Apis_mellifera,honeybee,sweep_net,7,50,1,,,47.063,-122.926,EHB8406,9/5/2016,Bloom,Apidae,Apis,mellifera
7,site_7,Bombus_californicus,bumblebee,sweep_net,2,50,1,,,47.063,-122.926,EHB8405,9/5/2016,Bloom,Apidae,Bombus,californicus
7,site_7,Bombus_vosnesenskii,bumblebee,bee_bowl,1,50,9,15 bee bowls,,47.063,-122.926,EHB8426,9/5/2016,Bloom,Apidae,Bombus,vosnesenskii
7,site_7,Lasioglossum_cfmellipes,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,47.063,-122.926,EHB8421,9/5/2016,Bloom,Halictidae,Lasioglossum,cfmellipes
7,site_7,Lasioglossum_spB8,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,47.063,-122.926,EHB8418,9/5/2016,Bloom,Halictidae,Lasioglossum,spB8
8,site_8,Agapostemon_texanus,other_wild_bees,blue_vane_trap,1,50,9,3 blue vane traps,,48.543,-122.413,EHB9651,9/9/2016,Bloom,Halictidae,Agapostemon,texanus
8,site_8,Anthidium_manicatum,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,48.543,-122.413,EHB9673,9/9/2016,Bloom,Megachilidae,Anthidium,manicatum
8,site_8,Anthidium_manicatum,other_wild_bees,blue_vane_trap,1,50,9,3 blue vane traps,,48.543,-122.413,EHB9658,9/9/2016,Bloom,Megachilidae,Anthidium,manicatum
8,site_8,Apis_mellifera,honeybee,bee_bowl,19,50,9,15 bee bowls,,48.543,-122.413,EHB9688,9/9/2016,Bloom,Apidae,Apis,mellifera
8,site_8,Apis_mellifera,honeybee,blue_vane_trap,17,50,9,3 blue vane traps,,48.543,-122.413,EHB9669,9/9/2016,Bloom,Apidae,Apis,mellifera
8,site_8,Apis_mellifera,honeybee,sweep_net,56,50,1,,,48.543,-122.413,EHB9637,9/9/2016,Bloom,Apidae,Apis,mellifera
8,site_8,Bombus_californicus,bumblebee,bee_bowl,1,50,9,15 bee bowls,,48.543,-122.413,EHB9674,9/9/2016,Bloom,Apidae,Bombus,californicus
8,site_8,Bombus_californicus,bumblebee,blue_vane_trap,2,50,9,3 blue vane traps,,48.543,-122.413,EHB9662,9/9/2016,Bloom,Apidae,Bombus,californicus
8,site_8,Bombus_sitkensis,bumblebee,sweep_net,1,50,1,,,48.543,-122.413,EHB8685,8/1/2016,Bloom,Apidae,Bombus,sitkensis
8,site_8,Bombus_vosnesenskii,bumblebee,blue_vane_trap,1,50,9,3 blue vane traps,,48.543,-122.413,EHB8707,8/1/2016,Bloom,Apidae,Bombus,vosnesenskii
8,site_8,Lasioglossum_cfmellipes,other_wild_bees,sweep_net,1,50,1,,,48.543,-122.413,EHB9647,9/9/2016,Bloom,Halictidae,Lasioglossum,cfmellipes
8,site_8,Lasioglossum_spA1,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,48.543,-122.413,EHB9686,9/9/2016,Bloom,Halictidae,Lasioglossum,spA1
8,site_8,Lasioglossum_spC2,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,48.543,-122.413,EHB8724,8/1/2016,Bloom,Halictidae,Lasioglossum,spC2
8,site_8,Lasioglossum_zonulum,other_wild_bees,blue_vane_trap,1,50,9,3 blue vane traps,,48.543,-122.413,EHB8708,8/1/2016,Bloom,Halictidae,Lasioglossum,zonulum
13,site_13,Agapostemon_texanus,other_wild_bees,blue_vane_trap,2,50,9,3 blue vane traps,,47.562,-122.303,EHB9303,8/30/2016,Bloom,Halictidae,Agapostemon,texanus
13,site_13,Apis_mellifera,honeybee,bee_bowl,2,50,9,15 bee bowls,,47.562,-122.303,EHB9304,8/30/2016,Bloom,Apidae,Apis,mellifera
13,site_13,Apis_mellifera,honeybee,blue_vane_trap,1,50,9,3 blue vane traps,,47.562,-122.303,EHB9299,8/30/2016,Bloom,Apidae,Apis,mellifera
13,site_13,Apis_mellifera,honeybee,sweep_net,7,50,1,,,47.562,-122.303,EHB9295,8/30/2016,Bloom,Apidae,Apis,mellifera
13,site_13,Bombus_vosnesenskii,bumblebee,blue_vane_trap,3,50,9,3 blue vane traps,,47.562,-122.303,EHB9301,8/30/2016,Bloom,Apidae,Bombus,vosnesenskii
13,site_13,Bombus_vosnesenskii,bumblebee,sweep_net,3,50,1,,,47.562,-122.303,EHB9296,8/30/2016,Bloom,Apidae,Bombus,vosnesenskii
13,site_13,Lasioglossum_spB7,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,47.562,-122.303,EHB9308,8/30/2016,Bloom,Halictidae,Lasioglossum,spB7
18,site_18,Agapostemon_texanus,other_wild_bees,blue_vane_trap,4,50,9,3 blue vane traps,,47.543,-122.287,EHB9407,9/4/2016,Bloom,Halictidae,Agapostemon,texanus
18,site_18,Apis_mellifera,honeybee,sweep_net,8,50,1,,,47.543,-122.287,EHB9400,9/4/2016,Bloom,Apidae,Apis,mellifera
18,site_18,Bombus_californicus,bumblebee,sweep_net,1,50,1,,,47.543,-122.287,EHB9394,9/4/2016,Bloom,Apidae,Bombus,californicus
18,site_18,Bombus_vosnesenskii,bumblebee,sweep_net,1,50,1,,,47.543,-122.287,EHB9382,9/4/2016,Bloom,Apidae,Bombus,vosnesenskii
23,site_23,Apis_mellifera,honeybee,bee_bowl,2,50,9,15 bee bowls,,47.671,-121.976,EHB9839,9/14/2016,Bloom,Apidae,Apis,mellifera
23,site_23,Apis_mellifera,honeybee,blue_vane_trap,3,50,9,3 blue vane traps,,47.671,-121.976,EHB9837,9/14/2016,Bloom,Apidae,Apis,mellifera
23,site_23,Apis_mellifera,honeybee,sweep_net,33,50,1,,,47.671,-121.976,EHB9824,9/14/2016,Bloom,Apidae,Apis,mellifera
23,site_23,Bombus_flavifrons,bumblebee,sweep_net,1,50,1,,,47.671,-121.976,EHB9815,9/14/2016,Bloom,Apidae,Bombus,flavifrons
23,site_23,Bombus_vosnesenskii,bumblebee,blue_vane_trap,1,50,9,3 blue vane traps,,47.671,-121.976,EHB9836,9/14/2016,Bloom,Apidae,Bombus,vosnesenskii
23,site_23,Bombus_vosnesenskii,bumblebee,sweep_net,1,50,1,,,47.671,-121.976,EHB9826,9/14/2016,Bloom,Apidae,Bombus,vosnesenskii
24,site_24,Agapostemon_texanus,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,47.522,-122.259,EHB9477,9/3/2016,Bloom,Halictidae,Agapostemon,texanus
24,site_24,Agapostemon_texanus,other_wild_bees,blue_vane_trap,1,50,9,3 blue vane traps,,47.522,-122.259,EHB8775,8/4/2016,Bloom,Halictidae,Agapostemon,texanus
24,site_24,Agapostemon_texanus,other_wild_bees,sweep_net,1,50,1,,,47.522,-122.259,EHB8745,8/4/2016,Bloom,Halictidae,Agapostemon,texanus
24,site_24,Apis_mellifera,honeybee,bee_bowl,2,50,9,15 bee bowls,,47.522,-122.259,EHB9480,9/3/2016,Bloom,Apidae,Apis,mellifera
24,site_24,Apis_mellifera,honeybee,blue_vane_trap,1,50,9,3 blue vane traps,,47.522,-122.259,EHB9473,9/3/2016,Bloom,Apidae,Apis,mellifera
24,site_24,Apis_mellifera,honeybee,sweep_net,34,50,1,,,47.522,-122.259,EHB9466,9/3/2016,Bloom,Apidae,Apis,mellifera
24,site_24,Bombus_californicus,bumblebee,blue_vane_trap,1,50,9,3 blue vane traps,,47.522,-122.259,EHB8776,8/4/2016,Bloom,Apidae,Bombus,californicus
24,site_24,Bombus_californicus,bumblebee,sweep_net,1,50,1,,,47.522,-122.259,EHB8734,8/4/2016,Bloom,Apidae,Bombus,californicus
24,site_24,Bombus_vosnesenskii,bumblebee,blue_vane_trap,7,50,9,3 blue vane traps,,47.522,-122.259,EHB9475,9/3/2016,Bloom,Apidae,Bombus,vosnesenskii
24,site_24,Bombus_vosnesenskii,bumblebee,sweep_net,1,50,1,,,47.522,-122.259,EHB8747,8/4/2016,Bloom,Apidae,Bombus,vosnesenskii
24,site_24,Lasioglossum_cfovaliceps,other_wild_bees,blue_vane_trap,1,50,9,3 blue vane traps,,47.522,-122.259,EHB8778,8/4/2016,Bloom,Halictidae,Lasioglossum,cfovaliceps
25,site_25,Agapostemon_texanus,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,46.801,-123.159,EHB9741,8/23/2016,Bloom,Halictidae,Agapostemon,texanus
25,site_25,Agapostemon_virescens,other_wild_bees,blue_vane_trap,2,50,9,3 blue vane traps,,46.801,-123.159,EHB9735,8/23/2016,Bloom,Halictidae,Agapostemon,virescens
25,site_25,Apis_mellifera,honeybee,bee_bowl,1,50,9,15 bee bowls,,46.801,-123.159,EHB9743,8/23/2016,Bloom,Apidae,Apis,mellifera
25,site_25,Apis_mellifera,honeybee,blue_vane_trap,3,50,9,3 blue vane traps,,46.801,-123.159,EHB9736,8/23/2016,Bloom,Apidae,Apis,mellifera
25,site_25,Apis_mellifera,honeybee,sweep_net,9,50,1,,,46.801,-123.159,EHB9702,8/23/2016,Bloom,Apidae,Apis,mellifera
25,site_25,Bombus_vosnesenskii,bumblebee,blue_vane_trap,19,50,9,3 blue vane traps,,46.801,-123.159,EHB9733,8/23/2016,Bloom,Apidae,Bombus,vosnesenskii
25,site_25,Bombus_vosnesenskii,bumblebee,sweep_net,3,50,1,,,46.801,-123.159,EHB9705,8/23/2016,Bloom,Apidae,Bombus,vosnesenskii
26,site_26,Agapostemon_texanus,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,48.435,-122.394,EHB9257,9/6/2016,Bloom,Halictidae,Agapostemon,texanus
26,site_26,Agapostemon_texanus,other_wild_bees,blue_vane_trap,1,50,9,3 blue vane traps,,48.435,-122.394,EHB9252,9/6/2016,Bloom,Halictidae,Agapostemon,texanus
26,site_26,Apis_mellifera,honeybee,bee_bowl,2,50,9,15 bee bowls,,48.435,-122.394,EHB9254,9/6/2016,Bloom,Apidae,Apis,mellifera
26,site_26,Apis_mellifera,honeybee,blue_vane_trap,3,50,9,3 blue vane traps,,48.435,-122.394,EHB9251,9/6/2016,Bloom,Apidae,Apis,mellifera
26,site_26,Apis_mellifera,honeybee,sweep_net,10,50,1,,,48.435,-122.394,EHB9246,9/6/2016,Bloom,Apidae,Apis,mellifera
26,site_26,Lasioglossum_cfmellipes,other_wild_bees,sweep_net,1,50,1,,,48.435,-122.394,EHB9237,9/6/2016,Bloom,Halictidae,Lasioglossum,cfmellipes
26,site_26,Lasioglossum_D4,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,48.435,-122.394,EHB9253,9/6/2016,Bloom,Halictidae,Lasioglossum,D4
26,site_26,Lasioglossum_zonulum,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,48.435,-122.394,EHB9258,9/6/2016,Bloom,Halictidae,Lasioglossum,zonulum
29,site_29,Agapostemon_texanus,other_wild_bees,blue_vane_trap,1,50,9,3 blue vane traps,,47.611,-121.937,EHB9535,8/25/2016,Bloom,Halictidae,Agapostemon,texanus
29,site_29,Apis_mellifera,honeybee,bee_bowl,2,50,9,15 bee bowls,,47.611,-121.937,EHB9543,8/25/2016,Bloom,Apidae,Apis,mellifera
29,site_29,Apis_mellifera,honeybee,blue_vane_trap,6,50,9,3 blue vane traps,,47.611,-121.937,EHB9539,8/25/2016,Bloom,Apidae,Apis,mellifera
29,site_29,Apis_mellifera,honeybee,sweep_net,44,50,1,,,47.611,-121.937,EHB9523,8/25/2016,Bloom,Apidae,Apis,mellifera
29,site_29,Bombus_vosnesenskii,bumblebee,blue_vane_trap,3,50,9,3 blue vane traps,,47.611,-121.937,EHB9529,8/25/2016,Bloom,Apidae,Bombus,vosnesenskii
30,site_30,Agapostemon_texanus,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,47.583,-121.916,EHB9357,9/22/2016,Bloom,Halictidae,Agapostemon,texanus
30,site_30,Agapostemon_texanus,other_wild_bees,blue_vane_trap,3,50,9,3 blue vane traps,,47.583,-121.916,EHB9352,9/22/2016,Bloom,Halictidae,Agapostemon,texanus
30,site_30,Agapostemon_virescens,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,47.583,-121.916,EHB9370,9/22/2016,Bloom,Halictidae,Agapostemon,virescens
30,site_30,Agapostemon_virescens,other_wild_bees,blue_vane_trap,6,50,9,3 blue vane traps,,47.583,-121.916,EHB9351,9/22/2016,Bloom,Halictidae,Agapostemon,virescens
30,site_30,Agapostemon_virescens,other_wild_bees,sweep_net,2,50,1,,,47.583,-121.916,EHB9321,9/22/2016,Bloom,Halictidae,Agapostemon,virescens
30,site_30,Apis_mellifera,honeybee,bee_bowl,7,50,9,15 bee bowls,,47.583,-121.916,EHB9368,9/22/2016,Bloom,Apidae,Apis,mellifera
30,site_30,Apis_mellifera,honeybee,blue_vane_trap,7,50,9,3 blue vane traps,,47.583,-121.916,EHB9356,9/22/2016,Bloom,Apidae,Apis,mellifera
30,site_30,Apis_mellifera,honeybee,sweep_net,12,50,1,,,47.583,-121.916,EHB9334,9/22/2016,Bloom,Apidae,Apis,mellifera
31,site_31,Apis_mellifera,honeybee,bee_bowl,1,50,9,15 bee bowls,,47.065,-122.984,EHB9146,9/21/2016,Bloom,Apidae,Apis,mellifera
31,site_31,Apis_mellifera,honeybee,blue_vane_trap,1,50,9,3 blue vane traps,,47.065,-122.984,EHB9145,9/21/2016,Bloom,Apidae,Apis,mellifera
31,site_31,Apis_mellifera,honeybee,sweep_net,14,50,1,,,47.065,-122.984,EHB9135,9/21/2016,Bloom,Apidae,Apis,mellifera
34,site_34,Agapostemon_texanus,other_wild_bees,blue_vane_trap,3,50,9,3 blue vane traps,,47.049,-122.872,EHB9783,9/8/2016,Bloom,Halictidae,Agapostemon,texanus
34,site_34,Agapostemon_virescens,other_wild_bees,bee_bowl,1,50,9,15 bee bowls,,47.049,-122.872,EHB9797,9/8/2016,Bloom,Halictidae,Agapostemon,virescens
34,site_34,Agapostemon_virescens,other_wild_bees,blue_vane_trap,1,50,9,3 blue vane traps,,47.049,-122.872,EHB9781,9/8/2016,Bloom,Halictidae,Agapostemon,virescens
34,site_34,Agapostemon_virescens,other_wild_bees,sweep_net,2,50,1,,,47.049,-122.872,EHB9764,9/8/2016,Bloom,Halictidae,Agapostemon,virescens
34,site_34,Apis_mellifera,honeybee,bee_bowl,1,50,9,15 bee bowls,,47.049,-122.872,EHB9787,9/8/2016,Bloom,Apidae,Apis,mellifera
34,site_34,Apis_mellifera,honeybee,blue_vane_trap,6,50,9,3 blue vane traps,,47.049,-122.872,EHB9780,9/8/2016,Bloom,Apidae,Apis,mellifera
34,site_34,Apis_mellifera,honeybee,sweep_net,14,50,1,,,47.049,-122.872,EHB9766,9/8/2016,Bloom,Apidae,Apis,mellifera
34,site_34,Bombus_vosnesenskii,bumblebee,sweep_net,1,50,1,,,47.049,-122.872,EHB9763,9/8/2016,Bloom,Apidae,Bombus,vosnesenskii
34,site_34,Megachile_perihirta,other_wild_bees,sweep_net,1,50,1,,,47.049,-122.872,EHB9762,9/8/2016,Bloom,Megachilidae,Megachile,perihirta
36,site_36,Apis_mellifera,honeybee,bee_bowl,3,50,9,15 bee bowls,,46.807,-123.11,EHB9234,8/26/2016,Bloom,Apidae,Apis,mellifera
36,site_36,Apis_mellifera,honeybee,blue_vane_trap,4,50,9,3 blue vane traps,,46.807,-123.11,EHB9212,8/26/2016,Bloom,Apidae,Apis,mellifera
36,site_36,Apis_mellifera,honeybee,sweep_net,9,50,1,,,46.807,-123.11,EHB9194,8/26/2016,Bloom,Apidae,Apis,mellifera
36,site_36,Bombus_vosnesenskii,bumblebee,blue_vane_trap,6,50,9,3 blue vane traps,,46.807,-123.11,EHB9216,8/26/2016,Bloom,Apidae,Bombus,vosnesenskii
36,site_36,Bombus_vosnesenskii,bumblebee,sweep_net,3,50,1,,,46.807,-123.11,EHB9200,8/26/2016,Bloom,Apidae,Bombus,vosnesenskii
